Text,Count
anms,1
sailing,1
echnlgy,3
carrier,1
116,1
percen,1
prfi,2
zmlin,1
delivers,1
salm,1
mik,2
sp_daejensejng,1
picres,1
vr,1
cnens,1
specially,1
fearing,1
kreas,2
daejensejng,1
sp,1
rism,1
deficicrnavirs,1
코로나19와,1
marahn,1
answers,1
message,1
fen,1
ransiin,1
ifc,1
wellness,1
mean,1
dw,1
sck,5
rade,1
ernie,3
sanders,3
india’s,1
needs,2
cnfrn,1
panpicn,1
vs,1
slcracy,1
heres’,1
manager,1
anxisly,1
awais,1
chair,1
chey,1
gives,1
pep,1
rely,1
pas,1
lwpwer,1
chips,1
hink,1
rains,1
call,1
kaie,1
prer,1
‘his,1
parisan,1
crisis’,1
prn,1
hanks,1
raffic,2
jams,1
cnagis,1
ndersanding,1
fighing,1
erpe,3
shns,1
nnfaceface,1
fears,1
100,1
gvrecmmended,1
awai,1
riss,1
pliics,1
pshes,2
wachdg,2
31,1
ren,2
‘i’s,1
ging,3
wrse’,1
scieniss,2
ndersand,1
cean’s,1
spell,1
creaive,2
eyes,1
wing,1
demcraic,1
pary,1
shw,1
riginaed,1
wall,3
sree,1
rallies,1
recvery,1
효성,2
조현준,2
“특이점의,1
시대에,1
맞춰,1
고객요구,1
대응해야”,1
더벨‘합작,1
청산’,1
campc신약연구소,1
밸류에이션,1
3배,1
껑충,1
wiscnsin,1
pandas,1
‘i,1
cmfr’,1
prcessed,1
cmeack,1
eenagers,1
imes,2
sscripin,1
passver,2
screens,1
lwrch,1
gds,1
capred,1
hle,2
image,1
makers,1
인재,3
crippled,1
css,2
clim,1
exprers,1
iny,1
ecnmies,1
digiizain,1
spervisin,1
wwa,1
aplgizes,1
fee,1
rning,2
crner,1
eing,1
삼성웰스토리주,1
삼성그룹,1
현대위아주,1
포스코,2
niy,1
caine,1
spain’s,1
acceleraed,1
warnings,1
wen,1
nheeded,1
americans,3
alarming,1
raes,1
sa,1
phshp,1
dream,1
한국미쓰비시전기오토메이션,1
smic에,1
한국efcry,1
모델라인,1
구축,42
완료…“단,1
sree’s,1
fades,1
aacks,3
ss,1
scial,4
crmles,1
slwdwn,1
infecins,1
⑦천일야화,1
왕자의,1
양탄자,1
망원경,1
사과로,1
베트남,1
무역,1
28억달러,1
흑자·8대품목,1
수출,1
68↑·쌀,1
수출값,1
급등‥온,1
pimism,1
exend,1
광화문뷰,1
데이터3법과,1
빅브라더,1
all,6
hear,1
gne,1
hese,1
hllywd,1
agens,1
signing,1
inflencers,1
wesern,1
spremacy,1
경제와삶,1
농식품,1
스타트업의,1
미래,4
ris,1
jhnsn,2
mnday,2
nwhere,1
clse,2
frever,1
lif,1
prlem,1
everywhere,1
geing,1
yng,1
adls,1
rdened,1
facing,1
nain,2
shelerinplace,1
fser,1
family,1
argainhning,1
flck,1
verseas,3
markes,1
gv,2
again,2
emphasizes,1
imprance,1
cma,1
prepared,2
chew,1
milize,1
capailiies,1
crnavirsweekend,1
mvemen,1
메가시티megaciies의,1
전염병,1
확산을,1
방지할,1
있는,2
산업혁명의,1
주요,1
servicegrwh,1
eric,2
nam,1
lands,1
illard’s,1
“scial,1
50”,1
scksinvesmen,1
1년⑤k,1
5g의,1
꽃은,1
2…韓,1
주도,3
더벨hyndai,1
hcn,1
500,1
인하대,11
ai융합연구단,11
설립,10
1년,7
새로운,9
미래가,6
열린다,7
alexa,1
ecnmiss,1
rying,3
answer,1
esins,1
searches,1
emerging,2
reaks,1
‘digial,1
nderakers’,1
sier,1
‘ans’,1
differen,1
조명,1
hngary’s,1
leader,1
graed,1
pwers,1
fear,1
연구자·센터,1
체계적,1
연결,1
톡톡,1
jersey’s,1
paien,1
srvived,1
enchmark,1
rae,1
nchanged,1
lised,1
firms’,1
shrink,1
17,1
1년미래,1
산학협력,5
모델,38
만들어,1
asia,2
passengersdrp,1
prmes,1
nprven,1
animalaria,1
cnr,1
1주년…융합,1
강원혁신센터,2
창업,2
발굴,3
나서,5
순천대,4
통해,4
gs,2
im에,4
5명,4
취업,4
hrs,1
세종시,4
주네이버와,1
도시첨단산업단지세종테크밸리,1
입주,2
계약을,1
체결클,1
picking,1
sides,1
greg,1
elemedicine,1
arrives,1
‘10,1
week’,1
ries,1
keep,4
wheels,1
wrsening,1
crnav,1
기가지니,74
2종,40
출시,47
adminisrain,1
prcess,1
mdels,1
ffer,1
picre,1
deails,1
2025,1
smell,1
virsplaged,1
hrive,1
preend,1
kill,1
disaser,1
incme,1
deermined,1
insrance,1
paymens,3
nies,1
lef,1
anxiey,1
asan,1
cener,1
csmized,1
paiens,1
esalishing,1
hree,1
ks,1
explre,1
machinery,1
mind,1
2633,1
philippines,1
남양주시,1
민원처리,1
예방시스템,1
일상생활,1
속의,1
ai노믹스,1
스피커,14
인공지능,7
스피커로,1
느낄,1
7가,1
비즈마켓,1
삼성전자,1
sk텔레콤,1
르노삼성,1
배달의민족,1
hspialiy,1
reail,3
killed,1
elcs,1
differeniaed,1
fea,1
caps,1
rlen,1
decline,1
1주년…,1
빅테이터·블록체인,1
성과,1
samsng1,1
xinha,1
silk,1
rad,1
gclsi,1
ild,1
60gw,1
mdle,1
facry,1
미니·기가지니,2
테이블v,2
더블랙,9
fll,2
deplymen,2
expedie,2
esai로,1
wine,1
deliveries,1
pins,1
silly,1
faler,1
lse,1
graph,2
ridership,1
merplian,1
areas,1
heaer,1
chains,1
rll,1
plans,1
rerelease,1
favries,1
spr,2
취득,1
amazn,1
making,2
vide,1
games,1
advisrs,1
racin,1
rmil,1
‘기가지니,3
미니’,3
테이블,6
layffs,2
hiing,2
mndanish,1
ciy,1
spplies,2
nears,1
1400,1
졸업생,3
i오늘k,1
출시…nhn,1
세계,2
자폐인의,1
기념,1
블루,1
주gs,2
제품,2
출시···,6
집안,5
어디서나,15
ai와,15
‘기가지니’,2
신규,2
pensin,1
even,4
wrse,3
“집안,3
mnclmian,1
출시…집안,2
2020년,1
빅토리6기,1
참가자,1
17일까지,1
모집,1
신제품,1
kdx,1
incain,1
pr,1
미니,4
출시…,2
똑똑해진,1
미니·테이블v,2
출시‘미니’와,1
‘테이블v,1
더블랙’,1
esae,2
‘caasrphic’,1
deaes,1
mask,2
ses,1
vice,1
hearingimpaired,1
형제,1
늘었다모델,1
함께”,4
출시…“집안,1
출시…한,1
손에,1
잡히는,1
한국언론진흥재단,6
국민권익위와,1
차세대,8
민원분석,4
시스템,4
운영,1
출시···“집안,1
강화기가지니,1
미니·테이블,1
ai스피커,2
미니·더블랙,1
만능,2
리모컨,3
기능,4
추가,3
컴팩트한,1
‘만능,1
리모컨’,1
smar,3
farming,1
innvaive,1
slin,2
출시···집안,1
출시…만능,1
더해,1
sr새상품,1
함께…,2
선봬,1
실내,1
함께…k,1
출시집안,1
출시···기가지니,1
media,1
scapega,1
case,1
mrarim,1
flrida,1
residens,1
animals,1
sex,1
gns,1
gde,1
knew,1
‘iger,1
king’,1
penial,1
feeling,1
srveys,1
aim,1
deec,1
미래성장사업부장에,1
민동순,2
상무,2
영입,1
예비창업자,1
ice,1
cream,1
cnslidaing,1
pmmeled,1
‘grea,1
nwinding’,1
세종,11
네이버,13
데이터센터,15
건립,9
순항,8
marks,1
1s,1
anniversary,1
cmmercializain,1
expand,1
finech,1
eachers,1
skepical,1
classes,1
본격화…,1
세종테크밸리,1
입주계약,1
nes,1
crnacma,1
wnkish,1
‘네이버,1
건립’,1
속도,3
digiize,1
impran,2
dcmens,1
‘never,1
ernie’,1
hrew,1
primary,1
cannais,1
chasing,1
high,1
if,2
assme,1
illness,1
프레제니우스메디칼케어코리아,7
김희경,9
대표이사,11
선임,9
사업,1
‘igry’,1
herald,1
‘wih,1
fried,1
chicken,1
waer,1
eas,1
eer’,1
권익위,2
연계,3
빅데이터를,12
통한,5
공공,1
filming,1
sspended,1
indefiniely,2
계약절차,1
완료,2
속도전,1
2022년,1
준공,1
rainingcrnavirs,1
입주·토지매매계약,1
creaes,1
‘freefrall’,1
masks,1
신임,2
프레제니우스메디칼케어코리아김희경,1
세종시·네이버,1
계약…건립,1
fresinis,1
ce,3
본궤도…입주,1
계약,1
effr,1
preven,2
mainains,1
seady,1
enerprise,2
cnsrcin,1
sies,1
esalished,1
garanee,1
pressre,1
prec,1
shrages,1
ser,1
인사,2
프레제니우스메디칼코리아,1
dnald,1
fmc코리아,1
increased,1
rapidly,1
55,1
yan,1
araced,1
zhngshan,1
코로나19,72
확산예측,59
얼라이언스,5
grps2019,1
fx’s,1
fake,1
cnagin,1
senae,1
alegrnd,1
ads,1
hles,1
credi,1
raise,1
differs,1
safey,2
ick,1
pach,1
happens,1
리뷰,1
데이터스트림즈,1
테라원,1
슈퍼쿼리,1
인터뷰,1
축적한,1
기술력으로,1
토털,1
제공한다,1
spark,1
ignied,1
‘nh,1
rm’,1
changing,2
‘r,2
siain,1
apcalypic’,1
angladesh,1
garmen,1
rin,1
구현모號,3
출범이통3사,1
5g·비통신,1
먹거리,1
경쟁,1
펼친다,1
언론재단,2
민원분석시스템,5
revl,1
전북도,1
공공데이터,2
경진대회,2
전라북도,1
zm,1
fracking,1
nce,1
lifed,1
pennsylvania,1
drag,1
jails,1
구미,1
수퍼,1
팩토리에서,1
최고,1
수준,1
라면,1
ai·i,1
구현한,1
미래형,1
n번방,1
사건,1
계기,1
실효성,1
성범죄,1
권익위와,2
시작,2
chases,1
indnesia’s,1
fishing,1
flees,1
saking,1
claim,1
sea’s,1
riches,1
민원분석을,2
정확하게,2
plafrm’s,1
game,1
gamep,1
lanched,1
japan,1
singap,1
국회휴먼네트워크,1
전문가,1
서평4차,1
로봇산업의,1
뉴스빅데이터,1
본격화,1
뉴스,2
빅데이터’로,1
sgh,1
passenger,1
said,1
국민권익위원회,1
indsrial,1
aciviy,1
hammered,1
fe,1
srg,1
hspial,1
ship,1
van,1
ggh,1
heaers,1
sare,1
ncerainy,1
ars,1
ys,1
iself,1
‘reak’,1
1995,1
living,1
seel,1
appins,2
lngime,1
emplyee,1
acras,1
hers,1
chance,1
gra,1
pw,1
japan’s,1
any,1
plicy,2
planning,1
최정우,1
수익성,1
고도화,2
전략으로,1
잡는다,1
통합,4
검색,3
데이터지도,3
31일,2
개시,3
‘hardes,1
knwing,1
end’,1
ike,1
lanes,1
safe,1
demcras,1
scramling,1
edirial,1
vigilance,1
출범,1
이상,1
외풍에,5
흔들리지,7
않는다,1
구현모,8
체제,1
출범…황창규,1
적폐청산,1
과제,1
산적,1
10개,2
데이터지도로,1
곳에서,1
구현모호,1
출범…디지털,1
미래사업에,1
방점,1
대신증권,1
금융시대,1
미래경영전략,1
시행,4
중심에,1
고객,2
않는,5
만들자,1
종합,1
주총주가하락에,1
시끌시끌…몸낮춘,1
공식,3
출범종합,1
만들,2
것종합,1
플랫폼에서,1
취임사,2
선임경영,1
철학,1
키워드,1
않겠다,1
plead,1
외풍,1
kreafinancial,1
모든,1
곳에정부,1
지도,1
외풍으로부터,1
만들겠다…당당하고,1
단단,1
사내,1
만들겠다,1
predars,1
prey,1
티맵,1
개발,5
영입…모빌리티,1
마켓트렌드,1
국내,1
수요관리,1
정책과,1
에너지데이터,1
이슈,1
crnavirsreis,1
cingedge,1
plays,1
haling,1
gians,1
2016syle,1
meddling,1
hrea,3
msic,2
스마트홈,2
gs건설,1
‘자이,1
ai플랫폼’호평,1
학습,2
이벤,2
jeffrey,1
frankel,1
freseeale,1
nfreseeales,1
코로나19백신,2
맨하탄,1
방식으로,1
nveils,2
inel,2
cascade,2
lake,2
refresh,2
prcessrs,1
k·,1
‘코로나,1
집돌·순이,1
linded,1
rleans,1
resarans,2
disasers,1
reckn,1
ackracks,1
criicizes,1
aranine,1
idea,1
srangers,1
empy,2
drm,1
⑥지속가능성의,1
의미와,1
대홍수,1
신화he,1
del,1
은평구,1
빅데이터ig,1
주차단속,1
‘kick,1
crnavirs’s,1
ass’,1
‘whiecllar,1
aranine’,1
splighs,1
class,1
divide,2
보일스님이,1
들려주는,1
이야기,1
l29g,1
빅데이터와,1
불교①,1
prf,1
reinvening,1
easer,1
meals,1
limis,1
reired,1
ilgy,1
eacher,1
weland,1
cnservain,1
국민銀,1
심사,36
기업여신,11
1위,1
지킨다,1
k국민은행,35
대출,1
건정성,1
강화…,1
drawn,1
rigin,1
daewng,1
medyx,1
rings,1
mampa,1
calendar,1
prc,1
dyfree,1
salesferary,1
server,1
sap,1
hanaased,1
sli,1
사단법인,1
아이비에스코리아,2
한국지능형스마트건축물협회로,3
변경,3
crnavirsrism,1
impac,1
leer,1
lael,1
regins,1
nanza,1
rich,1
cked,1
simls,2
package,1
precive,1
measres,1
panics,1
shelves,1
scked,1
dcrs,1
expec,1
‘hge,1
spike’,1
pediaric,1
injries,1
시티,3
울산창조경제혁신센터,2
보육기업,1
ackling,1
nfair,1
ryaly,1
spify,1
en,1
pprniies,1
ecmmerce,1
경북도교육청4개,1
교육대학원,1
융합교육,3
인력,1
양성,4
경북교육청,8
인공지능ai융합교육,4
교사,5
기른다,3
preparing,1
verss,1
기반을,1
닦겠다문용식,1
nia,1
원장,1
활용한,17
자동심사,8
지원시스템,7
jless,1
zealand,1
특별기고,1
국민의,1
집단지성이,1
ics,1
오픈,8
금융,1
단신,1
k국민은행·우리은행·신한은행,1
sel,1
10mine,1
여신시스템,1
4개,1
교육대학원과,2
양해각서,1
implemen,1
everland,1
국민은행,9
fair,1
pimizes,1
은행오늘,1
ik기업,1
중소기업,1
근로자,1
자녀에,1
장학금,1
전달…k국민,1
nk경남은행,1
창립,1
50돌…100년,1
지역은행,1
주춧돌,1
놓는다,1
사아이비에스코리아,1
디지털화,1
기업대출,1
심사시스템,2
‘빅데이터,1
활용’,1
경북도교육청인공지능ai융합교육,1
교사기른다,1
인공지능ai융합교육교사,1
양성에,1
기관명,1
‘기업여신,1
지원시스템ics’,1
gm,1
sspends,1
prdcin,1
paychecks,1
여신심사,1
leads,1
cnfirmed,1
efre,1
pplain,1
grwing,1
slwes,1
ra,1
뉴스워커_k국민은행,1
jins,1
frces,1
gyengsang,1
prvincial,1
plice,1
agency,1
스타트업,1
ai융합교육,1
전문교사,1
육성4개,1
“기업여신,1
활용해,3
빠르고,1
정교하게”,1
freignerscrprae,1
igname,1
hels,1
smaller,1
wners,1
hr,1
ciing,2
penaly,1
cr,1
lcks,1
giving,1
evidence,1
isis,1
‘eale,1
crprain,1
leaders,2
grim,2
lve,1
srcre,1
carry,1
키즈,10
전용,7
‘핑크퐁,11
노래방’,7
calls,1
deal’s,1
‘immral’,1
j커뮤니케이션과,1
핑크퐁,18
노래방으로,8
인기,9
동요,13
불러요,7
kj커뮤니케이션,1
노래방,11
민주당,1
부산시당,1
부산,1
ai인공지능,1
미래산업도시로,1
완전히,1
바꾼다총선,1
노래방’으로,4
“인기,2
불러요”,4
freignersselling,1
spree,1
인공지능v,1
확대핑크퐁,1
기가지니야,1
시작해줘,1
k·j커뮤니케이션,1
i오늘,1
lg전자,1
디오스,1
식기세척기,1
체험단,1
모집…nhn고도,1
샵바이,1
sr통신i,1
defer,1
ariff,1
엔쓰리엔클라우드엘에스디테크,1
체결…,1
“ai,1
최적화한,1
환경,1
구축”,1
insie,1
develps,1
pclass,1
pical,1
ransmissin,1
기가지니에,2
불러요~,1
25일,1
아기상어,1
저작권,1
수출액,1
300억,1
달러,1
달성,1
추진…‘저작권,1
비전,1
2030’,1
잇따라,1
부르세요,1
advancing,1
sheler,1
place,1
k·과기정통부,2
기관과,3
확산,16
예측,9
k·sk·lg유플러스…i업계,1
방지,1
걷어,1
‘js,1
lighs,1
n’,1
sars,1
한국토지주택공사lh,1
외출모드로…임대주택에,1
i기반,1
구축한다,1
yack,1
inge,1
교육,1
사태,1
hemian,1
ideniies,1
cllide,1
miami’s,1
ccn,1
grve,1
emergency,2
fnds,1
lsses,1
sai,1
ai·빅데이터,7
공동,50
deepening,1
sel’s,1
penrder,1
expli,1
과기정통부와,6
ai·빅데이터로,35
aiㆍ빅데이터로,11
과학기술정보통신부와,1
막자,1
통신,1
3사,1
ic·ipv로,1
활발,1
fails,1
arac,1
freign,2
k과기부,4
인공지능·빅데이터로,2
공동연구,4
신소재경제신문·재료연구소,1
공동기획,1
소재기술백서,1
20188제1장,1
재난재해,1
연구…국민,1
보호,1
최선,1
다할,1
나선다,3
연구한다,2
과기부와,3
협력해,3
ai·데이터,1
k‧과기부,1
ai도,1
모르는,1
소비자,1
마음,1
불확실한,1
것만이,1
확실한,1
시대의,1
“당신을,1
‘코로나19,2
얼라이언스’,2
진행,1
k6개,1
기관,3
협업,1
예측한다,3
lenders,1
als,1
raising,1
hpes,1
k의,1
활용…민·관·학,1
인공지능·빅데이터,1
예측한다…k,1
인공지능으로,1
예측하는,1
실시,1
k·과기부코로나19,1
정부와,1
aiㆍ빅데이터,1
exprslk,1
sr경제amp라이프,1
ai로,1
연구동맹,1
맺는다,1
서울대·kais,1
등과,1
확산예측6개기관과,1
‘우한,1
k과기정통부,1
densiy,1
ciy’s,1
‘enemy’,1
20smehings,1
realizing,1
mzamie,1
insrgens,1
sage,1
gas,1
prjecs,1
서울시,1
통신기록,1
넘겨받아,1
신천지,1
간부,1
뒷조사한다,1
sh,2
flaened,1
crve,1
amacare,1
wrks,1
desn’,1
암호화폐,1
2월,1
한달간,1
188건…상장,1
105건∙상폐,1
46건더,1
샌드박스엘라마체인,1
emerge,1
srnger,1
clses,1
ces,2
shinhan,3
affiliaes,1
charge,1
manage,1
mdel,1
legacy,1
fail’,1
ask,1
fill,1
‘aack,1
rae’,1
adps,1
gardian,1
신한아이타스,9
ai기술을,2
신입사원,7
채용,5
백오피스,3
강화를,2
개인,1
유전자,1
검사로,1
질병을,1
예방,1
한다2편,1
조민수,1
직조…제조기술에,1
더하겠다,1
백프로의,1
환율,1
돋보기,1
달러화는,1
금융위기,1
징후,1
판단,1
첨병,1
ai통한,1
100억,2
규모,2
3d,1
design,1
precisin,1
manfacring,1
dassal,1
sysèm,1
asks,1
ni,1
ai기술로,1
채용…,1
투자…백오피스,1
더불어민주당,1
전북도당,1
총선공약,1
10대,1
정책,1
67개,1
세부공약,1
채용·백오피스,1
주간,1
동향,1
icm과,1
대기업,1
참여,1
논란,1
158,1
lns,1
federal,1
reserve’s,1
film,1
hn,1
neflix,1
cinemas,1
디지털분야,1
100억대,1
israeli,1
demcracy,1
neanyah,1
ppnens,1
spped,1
harsh,1
seps,1
she,1
saisic,1
didn’,1
drives,1
deeper,1
pwer,1
srggle,1
ialy’s,1
venilar,1
부들·갈대,1
사라진,1
국가정원,1
샛강,1
hrwing,1
illins,1
isses,1
nninding,1
limam,1
rkerages,1
sffer,1
pricecing,1
came,1
apar,1
알파골프,1
멤버십,2
지금까지,1
없었던,1
신개념,1
골프,1
pences,1
negaive,1
dwindling,1
21일,1
조달청,1
입찰정보종합,1
2020학년도,1
금당초등학교,1
현장체험학습,1
학생운송,1
cmplee,1
desrcin,1
194차산업혁명은,1
경험을,1
디자인하는,1
independen,1
nknwn,1
riish,1
maverick,1
sance,1
marke’s,1
vanishes,1
sckpiling,1
prepare,1
whaever,1
cmes,1
